Heating,Lighting,Cooling,Plug,Ventilation,Other,Consumption,Location,Number of Room,Occupants,Temperature,Humidity,Precipitation,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Dayindex
10.25,24.9375,39.5,13.5,60.0,0.0,148.1875,"G-1B016-Projet-Vie étudiante, G-4D006",2.0,44.0,20.2,54.42,0.0,92.6,29.5,655.0,2.4,7.0,0.578
11.0,24.0,55.25,12.6875,71.625,0.0,174.5625,G-1B016-Projet-Vie étudiante,1.0,10.0,22.0,48.88,0.0,92.9,25.0,893.0,3.2,9.0,0.578
11.0,21.4375,81.9375,13.5625,74.125,0.0,202.0625,"G-1B016-Projet-Vie étudiante, G-2C005-info, G-2C006",3.0,108.0,23.9,44.18,0.0,22.2,34.5,743.0,2.7,7.0,0.578
9.25,19.5,89.125,13.5,44.75,0.0,176.125,"G-1B016-Projet-Vie étudiante, G-2C006",2.0,90.0,25.0,40.71,0.0,22.2,33.0,948.0,3.4,9.0,0.578
8.0,19.0625,183.625,11.5,78.25,0.0,300.4375,"G-1B016-Projet-Vie étudiante, G-2C006",2.0,90.0,25.7,37.74,0.0,10.0,26.9,883.0,3.2,9.0,0.578
7.5,18.0,108.4375,10.8125,73.75,0.0,218.5,G-1B016-Projet-Vie étudiante,1.0,10.0,26.5,37.75,0.0,10.0,19.1,781.0,2.8,8.0,0.578
6.25,14.3125,137.875,10.625,47.0,0.0,216.0625,G-1B016-Projet-Vie étudiante,1.0,10.0,26.7,36.5,0.0,30.0,28.0,648.0,2.3,6.0,0.578
6.0,13.0,156.8125,9.375,63.75,0.0,248.9375,0,0.0,0.0,26.5,35.22,0.0,60.0,25.2,445.0,1.6,4.0,0.578
5.75,11.3125,111.1875,10.25,60.0,0.0,198.5,0,0.0,0.0,25.2,36.55,0.0,80.0,34.7,60.0,0.2,1.0,0.578
5.5,8.8125,141.1875,11.625,67.75,0.0,234.875,0,0.0,0.0,22.8,45.78,0.0,50.0,37.2,34.0,0.1,0.0,0.578
5.75,5.0625,84.125,8.875,38.5,0.0,142.3125,0,0.0,0.0,19.6,56.16,0.0,30.0,29.7,9.0,0.0,0.0,0.578
5.5,5.125,65.5625,9.0,38.0,0.0,123.1875,0,0.0,0.0,18.0,63.42,0.0,50.0,37.3,0.0,0.0,0.0,0.578
5.25,5.4375,84.625,9.5625,19.25,0.0,124.125,0,0.0,0.0,16.6,67.26,0.0,50.0,37.3,0.0,0.0,0.0,0.578
5.0,4.6875,75.4375,9.125,4.25,0.0,98.5,0,0.0,0.0,15.3,73.44,0.0,60.0,36.4,0.0,0.0,0.0,0.607
